timestamp,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,fz,mx,my,mz
200462.986608,0.481444,0.160008,0.014999,0.010883,0.017663,-0.012150,0.999950,-0.003258,0.002056,-0.009192,0.144087,-0.290878,0.000336,0.247740,1.176640,-2.455194,0.010142
200463.036720,0.481988,0.160891,0.014391,0.012797,0.020635,-0.043886,0.999944,0.000277,-0.005249,-0.009167,0.202923,-0.413636,0.000624,0.266016,-0.294892,0.208869,0.008940
200463.086832,0.482628,0.161923,0.012197,0.007623,0.020409,-0.041790,0.999822,0.005255,-0.015635,-0.009127,0.188188,-0.403188,0.000878,0.274543,-0.964234,1.603610,0.012241
200463.136986,0.483009,0.162943,0.010108,-0.008320,0.015212,-0.024155,0.999578,0.009866,-0.025754,-0.009084,0.139990,-0.323001,0.001226,0.274997,-1.183549,2.239449,0.017767
200463.187121,0.482593,0.163704,0.008900,-0.034631,0.005406,-0.006176,0.999297,0.013289,-0.033856,-0.009043,0.080828,-0.211022,0.001731,0.272143,-1.144221,2.410089,0.023623
200463.392848,0.481462,0.160037,0.014999,0.011265,0.018273,-0.012186,0.999950,-0.003258,0.002056,-0.009192,0.098526,-0.271349,0.001381,0.249360,0.967834,-2.214765,0.042439
200463.442963,0.482025,0.160950,0.014390,0.013191,0.021264,-0.040922,0.999947,-0.000857,-0.004750,-0.009140,0.146932,-0.382082,0.002587,0.265851,0.326842,-0.090008,0.037856
200463.493057,0.482685,0.162014,0.012344,0.008522,0.022151,-0.039128,0.999853,0.002728,-0.014334,-0.009050,0.163312,-0.386568,0.003663,0.272767,-0.053737,1.194026,0.032772
200463.543172,0.483111,0.163121,0.010387,-0.005982,0.019526,-0.024719,0.999649,0.006721,-0.024033,-0.008925,0.160679,-0.326844,0.004595,0.273862,-0.338746,1.922967,0.024830
200463.593286,0.482812,0.164097,0.009151,-0.030412,0.012929,-0.008700,0.999385,0.010661,-0.032237,-0.008769,0.143798,-0.230668,0.005300,0.272081,-0.473476,2.112188,0.013997
200463.800743,0.481460,0.160034,0.014999,0.011227,0.018220,-0.012166,0.999950,-0.003258,0.002056,-0.009192,0.149207,-0.279001,0.000487,0.248355,1.364972,-2.342474,0.006491
200463.850860,0.482021,0.160945,0.014391,0.013145,0.021199,-0.042762,0.999946,0.000408,-0.004953,-0.009165,0.217461,-0.396122,0.000672,0.265957,0.009178,-0.081850,0.000495
200463.900974,0.482678,0.162005,0.012253,0.008263,0.020842,-0.040774,0.999831,0.005753,-0.014904,-0.009124,0.217930,-0.400209,0.000686,0.273701,-0.973554,1.356254,-0.000070
200463.951091,0.483091,0.163047,0.010214,-0.006897,0.015149,-0.024679,0.999586,0.011108,-0.024956,-0.009083,0.169263,-0.332390,0.000684,0.274860,-1.602882,2.206357,0.005958
200464.001213,0.482747,0.163804,0.008980,-0.032394,0.004076,-0.006939,0.999288,0.015261,-0.033300,-0.009052,0.089127,-0.222068,0.000853,0.272522,-1.686393,2.368723,0.005658
200464.210621,0.481420,0.159971,0.014999,0.011059,0.017945,-0.012172,0.999950,-0.003258,0.002056,-0.009192,0.095333,-0.268825,0.000841,0.249682,0.926377,-2.379849,0.029898
200464.260743,0.481973,0.160868,0.014391,0.012987,0.020940,-0.040312,0.999947,-0.000936,-0.004686,-0.009154,0.141660,-0.387814,0.001691,0.265516,0.600577,-0.359509,0.034900
200464.310882,0.482623,0.161915,0.012375,0.008388,0.021903,-0.039137,0.999852,0.002516,-0.014413,-0.009085,0.171714,-0.405780,0.002683,0.272203,0.305048,1.096659,0.045539
200464.361057,0.483042,0.163010,0.010418,-0.006164,0.019499,-0.025773,0.999635,0.006715,-0.024593,-0.008981,0.187008,-0.350930,0.003977,0.273893,-0.840841,2.151810,0.061332
200464.411170,0.482734,0.163985,0.009130,-0.031164,0.012914,-0.009722,0.999339,0.011306,-0.033405,-0.008826,0.145018,-0.243311,0.005721,0.272883,-1.081883,2.416084,0.054530
200464.616699,0.481450,0.160018,0.014999,0.011051,0.017930,-0.012166,0.999950,-0.003258,0.002056,-0.009192,0.122174,-0.280750,0.001885,0.248475,1.116309,-2.282774,0.053823
200464.666820,0.482003,0.160915,0.014391,0.012971,0.020911,-0.042540,0.999946,-0.000268,-0.004991,-0.009128,0.178010,-0.394880,0.003415,0.265977,0.200927,0.017047,0.041797
200464.716950,0.482652,0.161960,0.012264,0.008057,0.021219,-0.040514,0.999840,0.004091,-0.014902,-0.009017,0.188107,-0.394005,0.004603,0.273451,-0.452633,1.484961,0.028120
200464.767048,0.483054,0.163021,0.010238,-0.007070,0.017213,-0.024866,0.999615,0.008702,-0.024792,-0.008872,0.165544,-0.319724,0.005402,0.274603,-1.022845,2.220959,0.011621
200464.817157,0.482701,0.163882,0.008995,-0.032353,0.008589,-0.007543,0.999342,0.012764,-0.032818,-0.008704,0.114468,-0.208642,0.005733,0.272351,-1.037630,2.345593,0.004108
200465.025307,0.481461,0.160036,0.014999,0.011250,0.018258,-0.012185,0.999950,-0.003258,0.002056,-0.009192,0.123941,-0.259704,0.000720,0.249547,1.086143,-2.212515,0.019599
200465.075421,0.482023,0.160949,0.014390,0.013177,0.021251,-0.040575,0.999948,-0.000219,-0.004465,-0.009159,0.178255,-0.370327,0.001277,0.265780,0.089670,-0.224593,0.015646
200465.125557,0.482682,0.162011,0.012361,0.008784,0.021507,-0.038909,0.999855,0.004152,-0.013763,-0.009105,0.182756,-0.381548,0.001722,0.272736,-0.535625,0.990766,0.013158
200465.175698,0.483122,0.163087,0.010415,-0.005154,0.017441,-0.024551,0.999649,0.008632,-0.023340,-0.009038,0.156000,-0.331997,0.002096,0.273887,-0.680218,1.392999,0.010700
